Name,Location,Industry
63 Moons Technologies,"Mumbai","Technology, Software, Financial technology"
Aban Offshore,"Chennai","Energy, Oil & gas offshore drilling & other services, Oil, petrochemical"
ABG Shipyard,"Ahmedabad","Industrials, Shipbuilding, Ship building"
ABP Group,"Kolkata","Consumer services, Broadcasting & entertainment, Media, news"
ACC,"Mumbai","Industrials, Cement, Cement"
ACG Group,"Mumbai","Industrials, Machinery: specialty, Pharmaceutical industry machinery & medicinal materials manufacturer"
Acko General Insurance,"Mumbai","Insurance, Full line insurance, Insurance"
Action Construction Equipment,"Faridabad","Industrials, Machinery: construction & handling, Bulldozers, cranes"
Action Group,"New Delhi","Conglomerate, —, Apparel, chemicals, retail, steel"
Adani Group,"Ahmedabad","Conglomerate, —, Conglomerate"
Adani Power,"Mumbai","Utilities, Alternative electricity, Thermal & solar power generation, part ofAdani Group"
Aditya Birla Fashion and Retail,"Mumbai","Retail, Apparel retailers, Clothing retailer"
Aditya Birla Group,"Mumbai","Conglomerate, —, Agribusiness, cement, chemicals"
Ador Group,"Mumbai","Conglomerate, —, Electronics, energy, chemicals"
Advanced Weapons and Equipment India,"Kanpur","Industrials, Defense, Weapons"
Afcons Infrastructure,"Mumbai","Industrials, Construction, Constructions"
Agriculture Insurance Company of India,"New Delhi","Insurance, Full line insurance, Insurance"
Air Costa,"Vijayawada","Consumer services, Airlines, Defunct 2017"
Air India,"New Delhi","Consumer services, Airlines, Airline, part ofTata Sons"
Air India Express,"Kochi","Consumer services, Airlines, Low-cost airline, part ofAir India"
Ajanta Group,"Ahmedabad","Conglomerate, —, Textile, transport, construction machinery"
Alkem Laboratories,"Mumbai","Health care, Pharmaceuticals, Pharma"
Allcargo Logistics,"Mumbai","Industrials, Industrial transportation, Logistics & transportation"
Amartex,"Gurugram","Basic materials, Textile products, Textiles"
Ambuja Cements,"Mumbai","Industrials, Cement, Cement"
Amrutanjan Healthcare,"Chennai","Health care, Ayurvedic producers, Alternative medicines"
Amul,"Anand","Consumer goods, Food products, Dairy"
Angel One,"Mumbai","Financials, Investment services, Stock broker"
Apollo Hospitals,"Chennai","Health care, Health care providers, Hospital chain"
Apollo Tyres,"Gurugram","Consumer goods, Tires, Tyres, parts"
Aptech,"Mumbai","Industrials, Business training & employment agencies, Training"
Archies,"New Delhi","Retail, Specialty retailers, Greeting cards"
Arise India,"Delhi","Consumer goods, Consumer electronics, Electrical goods, home appliances"
Armoured Vehicles Nigam,"Chennai","Industrials, Defense, Armoured military vehicles"
Artemis Hospital,"Gurugram","Health care, Health care providers, Hospitals"
Arvind,"Ahmedabad","Conglomerate, —, Clothing, engineering, real estate"
Ashok Leyland,"Chennai","Industrials, Commercial vehicles & parts, Bus, trucks, defense vehicles, joint venture ofHinduja Group&Nissan(Japan)"
Asia MotorWorks,"Mumbai","Industrials, Commercial vehicles & parts, Trucks"
Asian Paints,"Mumbai","Industrials, Paints and coatings, Paints"
Atul,"Ahmedabad","Chemicals, Chemicals: diversified, Integrated chemicals"
Atul Auto,"Rajkot","Consumer goods, Automobiles, Auto-rickshaws"
Avantha Group,"New Delhi","Conglomerate, —, Chemicals, I/T, BPO"
Axis Bank,"Ahmedabad","Financials, Banks"
Bajaj Auto,"Pune","Consumer goods, Automobiles, Motorcycles, part ofBajaj Group"
Bajaj Group,"Pune","Conglomerate, —, Motorcycles, financial services, electricals, sugar, iron & steel, insurance, consumer goods"
Balaji Telefilms,"Mumbai","Consumer services, Broadcasting & entertainment, Film production"
Balaji Wafers,"Mumbai","Consumer goods, Food products, Potato chips"
Ballarpur Industries,"Gurugram","Basic materials, Paper, Paper"
Bank of Baroda,"Vadodara","Financials, Banks, State-owned bank"
Bank of India,"Mumbai","Financials, Banks, Government-owned bank"
Bellatrix Aerospace,"Bengaluru","Industrials, Aerospace, space industry, Launch vehicles & satellites"
BEML,"Bengaluru","Industrials, Commercial vehicles & parts, Defense vehicles, heavy construction vehicles, rail vehicles"
BGR Energy Systems,"Chennai","Industrials, Engineering and contracting services"
Bharat Aluminium Company,"New Delhi","Basic materials, Aluminium, Aluminium, part ofVedanta Resources(UK)"
Bharat Biotech,"Hyderabad","Health care, Pharmaceuticals & biotechnology, Drug development & vaccines"
Bharat Dynamics Limited,"Hyderabad","Industrials, Aerospace & defense, State-owned missiles, defense"
Bharat Electronics,"Bengaluru","Industrials, Aerospace & defense, State-owned electronics, defense"
Bharat Forge,"Pune","Industrials, Industrial engineering, Engineering and machinery, part ofKalyani Group"
Bharat Heavy Electricals Limited,"New Delhi","Industrials, Electrical components, State electrical engineering"
Bharat Petroleum,"Mumbai","Energy, Oil refining & marketing, refineries, petrochemical"
Bharat Sanchar Nigam Limited,"New Delhi","Telecommunications, Telecommunications service providers, Fixed-line telecommunications"
BHAVINI,"Chennai","Utilities, Conventional electricity, State nuclear power generation"
Bharti Airtel,"New Delhi","Telecommunications, Telecommunications services, Mobile network"
